YEAR,JURISDICTION,LOCATION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES
2023,NSW,Major Cities of Australia,0-16,unlicensed_driving,Police issued,3
2023,NSW,Major Cities of Australia,17-25,unlicensed_driving,Police issued,104
2023,NSW,Major Cities of Australia,26-39,unlicensed_driving,Police issued,190
2023,NSW,Major Cities of Australia,40-64,unlicensed_driving,Police issued,109
2023,NSW,Major Cities of Australia,65 and over,unlicensed_driving,Police issued,7
2023,NSW,Outer Regional Australia,17-25,unlicensed_driving,Police issued,9
2023,NSW,Outer Regional Australia,26-39,unlicensed_driving,Police issued,27
2023,NSW,Outer Regional Australia,40-64,unlicensed_driving,Police issued,20
2023,NSW,Outer Regional Australia,65 and over,unlicensed_driving,Police issued,1
2023,NSW,Remote Australia,26-39,unlicensed_driving,Police issued,1
2023,VIC,Inner Regional Australia,17-25,unlicensed_driving,Police issued,21
2023,VIC,Inner Regional Australia,26-39,unlicensed_driving,Police issued,84
2023,VIC,Inner Regional Australia,40-64,unlicensed_driving,Police issued,56
2023,VIC,Inner Regional Australia,65 and over,unlicensed_driving,Police issued,3
2023,VIC,Major Cities of Australia,0-16,unlicensed_driving,Police issued,1
2023,VIC,Major Cities of Australia,17-25,unlicensed_driving,Police issued,97
2023,VIC,Major Cities of Australia,26-39,unlicensed_driving,Police issued,268
2023,VIC,Major Cities of Australia,40-64,unlicensed_driving,Police issued,135
2023,VIC,Major Cities of Australia,65 and over,unlicensed_driving,Police issued,5
2023,VIC,Outer Regional Australia,17-25,unlicensed_driving,Police issued,14
2023,VIC,Outer Regional Australia,26-39,unlicensed_driving,Police issued,24
2023,VIC,Outer Regional Australia,40-64,unlicensed_driving,Police issued,16
2023,VIC,Outer Regional Australia,65 and over,unlicensed_driving,Police issued,1
2023,ACT,Major Cities of Australia,0-16,unlicensed_driving,Police issued,1
2023,ACT,Major Cities of Australia,17-25,unlicensed_driving,Police issued,2
2023,ACT,Major Cities of Australia,26-39,unlicensed_driving,Police issued,9
2023,ACT,Major Cities of Australia,40-64,unlicensed_driving,Police issued,4
2023,NSW,Inner Regional Australia,0-16,unlicensed_driving,Police issued,2
2023,NSW,Inner Regional Australia,17-25,unlicensed_driving,Police issued,37
2023,NSW,Inner Regional Australia,26-39,unlicensed_driving,Police issued,84
2023,NSW,Inner Regional Australia,40-64,unlicensed_driving,Police issued,62
2023,NSW,Inner Regional Australia,65 and over,unlicensed_driving,Police issued,6
2023,NSW,Major Cities of Australia,0-16,unlicensed_driving,Police issued,6
2023,NSW,Major Cities of Australia,17-25,unlicensed_driving,Police issued,82
2023,NSW,Major Cities of Australia,26-39,unlicensed_driving,Police issued,158
2023,NSW,Major Cities of Australia,40-64,unlicensed_driving,Police issued,134
2023,NSW,Major Cities of Australia,65 and over,unlicensed_driving,Police issued,7
2023,NSW,Outer Regional Australia,0-16,unlicensed_driving,Police issued,1
2023,NSW,Outer Regional Australia,17-25,unlicensed_driving,Police issued,11
2023,NSW,Outer Regional Australia,26-39,unlicensed_driving,Police issued,30
