YEAR,JURISDICTION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES
2021,SA,All ages,mobile_phone_use,Police issued,4799
2021,TAS,All ages,mobile_phone_use,Police issued,2328
2021,VIC,All ages,mobile_phone_use,Police issued,15562
2021,WA,All ages,mobile_phone_use,Police issued,4909
2022,ACT,All ages,mobile_phone_use,Police issued,374
2022,NSW,All ages,mobile_phone_use,Police issued,12904
2022,NSW,All ages,mobile_phone_use,Fixed or mobile camera,194793
2022,NT,All ages,mobile_phone_use,Police issued,302
2022,QLD,All ages,mobile_phone_use,Police issued,3487
2022,QLD,All ages,mobile_phone_use,Fixed or mobile camera,118152
2022,SA,All ages,mobile_phone_use,Police issued,4583
2022,TAS,All ages,mobile_phone_use,Police issued,1973
2022,VIC,All ages,mobile_phone_use,Police issued,19428
2022,WA,All ages,mobile_phone_use,Police issued,6346
2023,SA,0-16,mobile_phone_use,Police issued,1
2023,VIC,0-16,mobile_phone_use,Police issued,1
2023,VIC,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,TAS,0-16,mobile_phone_use,Police issued,0
2023,VIC,0-16,mobile_phone_use,Police issued,1
2023,ACT,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,VIC,0-16,mobile_phone_use,Police issued,1
2023,ACT,0-16,mobile_phone_use,Police issued,2
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,ACT,0-16,mobile_phone_use,Police issued,3
2023,NSW,0-16,mobile_phone_use,Police issued,2
2023,NSW,0-16,mobile_phone_use,Police issued,0
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,ACT,0-16,mobile_phone_use,Police issued,2
2023,SA,0-16,mobile_phone_use,Police issued,2
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,VIC,0-16,mobile_phone_use,Police issued,1
2023,NSW,0-16,mobile_phone_use,Police issued,2
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,ACT,0-16,mobile_phone_use,Police issued,1
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,ACT,0-16,mobile_phone_use,Police issued,1
2023,NSW,0-16,mobile_phone_use,Police issued,3
2023,NSW,0-16,mobile_phone_use,Police issued,1
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,NSW,0-16,mobile_phone_use,Police issued,2
2023,NSW,0-16,mobile_phone_use,Police issued,2
2023,SA,0-16,mobile_phone_use,Police issued,0
2023,VIC,0-16,mobile_phone_use,Police issued,1
2023,ACT,17-25,mobile_phone_use,Police issued,8
2023,NSW,17-25,mobile_phone_use,Police issued,55
2023,NSW,17-25,mobile_phone_use,Police issued,270
2023,NSW,17-25,mobile_phone_use,Police issued,6
2023,NT,17-25,mobile_phone_use,Police issued,3
2023,SA,17-25,mobile_phone_use,Police issued,106
2023,TAS,17-25,mobile_phone_use,Police issued,27
2023,VIC,17-25,mobile_phone_use,Police issued,47
2023,VIC,17-25,mobile_phone_use,Police issued,298
2023,VIC,17-25,mobile_phone_use,Police issued,7
2023,WA,17-25,mobile_phone_use,Police issued,72
2023,ACT,17-25,mobile_phone_use,Police issued,7
2023,NSW,17-25,mobile_phone_use,Police issued,48
2023,NSW,17-25,mobile_phone_use,Police issued,278
2023,NSW,17-25,mobile_phone_use,Police issued,4
2023,NT,17-25,mobile_phone_use,Police issued,5
2023,SA,17-25,mobile_phone_use,Police issued,150
2023,TAS,17-25,mobile_phone_use,Police issued,29
2023,VIC,17-25,mobile_phone_use,Police issued,26
2023,VIC,17-25,mobile_phone_use,Police issued,248
2023,VIC,17-25,mobile_phone_use,Police issued,2
2023,WA,17-25,mobile_phone_use,Police issued,69
2023,ACT,17-25,mobile_phone_use,Police issued,12
2023,NSW,17-25,mobile_phone_use,Police issued,37
2023,NSW,17-25,mobile_phone_use,Police issued,283
2023,NSW,17-25,mobile_phone_use,Police issued,6
2023,NT,17-25,mobile_phone_use,Police issued,4
2023,SA,17-25,mobile_phone_use,Police issued,153
2023,TAS,17-25,mobile_phone_use,Police issued,44
2023,VIC,17-25,mobile_phone_use,Police issued,55
2023,VIC,17-25,mobile_phone_use,Police issued,309
2023,VIC,17-25,mobile_phone_use,Police issued,11
2023,WA,17-25,mobile_phone_use,Police issued,76
2023,ACT,17-25,mobile_phone_use,Police issued,7
2023,NSW,17-25,mobile_phone_use,Police issued,39
2023,NSW,17-25,mobile_phone_use,Police issued,348
2023,NSW,17-25,mobile_phone_use,Police issued,4
2023,NSW,17-25,mobile_phone_use,Police issued,1
2023,NSW,17-25,mobile_phone_use,Police issued,1
2023,NT,17-25,mobile_phone_use,Police issued,2
2023,SA,17-25,mobile_phone_use,Police issued,122
2023,TAS,17-25,mobile_phone_use,Police issued,32
2023,VIC,17-25,mobile_phone_use,Police issued,21
2023,VIC,17-25,mobile_phone_use,Police issued,232
2023,VIC,17-25,mobile_phone_use,Police issued,5
2023,WA,17-25,mobile_phone_use,Police issued,63
2023,ACT,17-25,mobile_phone_use,Police issued,5
2023,NSW,17-25,mobile_phone_use,Police issued,36
2023,NSW,17-25,mobile_phone_use,Police issued,330
2023,NSW,17-25,mobile_phone_use,Police issued,3
2023,NSW,17-25,mobile_phone_use,Police issued,2
2023,NT,17-25,mobile_phone_use,Police issued,4
2023,SA,17-25,mobile_phone_use,Police issued,105
2023,TAS,17-25,mobile_phone_use,Police issued,29
2023,VIC,17-25,mobile_phone_use,Police issued,30
2023,VIC,17-25,mobile_phone_use,Police issued,252
2023,VIC,17-25,mobile_phone_use,Police issued,10
2023,VIC,17-25,mobile_phone_use,Police issued,1
2023,WA,17-25,mobile_phone_use,Police issued,69
2023,ACT,17-25,mobile_phone_use,Police issued,5
2023,NSW,17-25,mobile_phone_use,Police issued,48
2023,NSW,17-25,mobile_phone_use,Police issued,338
2023,NSW,17-25,mobile_phone_use,Police issued,5
2023,NSW,17-25,mobile_phone_use,Police issued,2
2023,NT,17-25,mobile_phone_use,Police issued,1
2023,SA,17-25,mobile_phone_use,Police issued,102
2023,TAS,17-25,mobile_phone_use,Police issued,29
2023,VIC,17-25,mobile_phone_use,Police issued,24
2023,VIC,17-25,mobile_phone_use,Police issued,196
2023,VIC,17-25,mobile_phone_use,Police issued,6
2023,VIC,17-25,mobile_phone_use,Police issued,3
2023,WA,17-25,mobile_phone_use,Police issued,63
2023,ACT,17-25,mobile_phone_use,Police issued,10
2023,NSW,17-25,mobile_phone_use,Police issued,38
2023,NSW,17-25,mobile_phone_use,Police issued,253
2023,NSW,17-25,mobile_phone_use,Police issued,5
2023,NSW,17-25,mobile_phone_use,Police issued,0
2023,NT,17-25,mobile_phone_use,Police issued,1
2023,SA,17-25,mobile_phone_use,Police issued,109
2023,TAS,17-25,mobile_phone_use,Police issued,28
2023,VIC,17-25,mobile_phone_use,Police issued,30
2023,VIC,17-25,mobile_phone_use,Police issued,216
2023,VIC,17-25,mobile_phone_use,Police issued,7
2023,VIC,17-25,mobile_phone_use,Police issued,4
2023,WA,17-25,mobile_phone_use,Police issued,60
2023,ACT,17-25,mobile_phone_use,Police issued,9
2023,NSW,17-25,mobile_phone_use,Police issued,35
2023,NSW,17-25,mobile_phone_use,Police issued,298
2023,NSW,17-25,mobile_phone_use,Police issued,4
2023,NSW,17-25,mobile_phone_use,Police issued,4
2023,NT,17-25,mobile_phone_use,Police issued,2
2023,SA,17-25,mobile_phone_use,Police issued,108
2023,TAS,17-25,mobile_phone_use,Fixed or mobile camera,1
2023,TAS,17-25,mobile_phone_use,Police issued,29
2023,VIC,17-25,mobile_phone_use,Police issued,36
2023,VIC,17-25,mobile_phone_use,Police issued,246
2023,VIC,17-25,mobile_phone_use,Police issued,11
2023,VIC,17-25,mobile_phone_use,Police issued,5
2023,WA,17-25,mobile_phone_use,Police issued,48
2023,ACT,17-25,mobile_phone_use,Police issued,5
2023,NSW,17-25,mobile_phone_use,Police issued,35
2023,NSW,17-25,mobile_phone_use,Police issued,257
2023,NSW,17-25,mobile_phone_use,Police issued,12
2023,NSW,17-25,mobile_phone_use,Police issued,1
2023,NT,17-25,mobile_phone_use,Police issued,4
2023,SA,17-25,mobile_phone_use,Police issued,107
2023,TAS,17-25,mobile_phone_use,Fixed or mobile camera,12
2023,TAS,17-25,mobile_phone_use,Police issued,21
2023,VIC,17-25,mobile_phone_use,Police issued,30
2023,VIC,17-25,mobile_phone_use,Police issued,256
2023,VIC,17-25,mobile_phone_use,Police issued,12
2023,VIC,17-25,mobile_phone_use,Police issued,1
2023,WA,17-25,mobile_phone_use,Police issued,42
2023,ACT,17-25,mobile_phone_use,Police issued,4
2023,NSW,17-25,mobile_phone_use,Police issued,49
2023,NSW,17-25,mobile_phone_use,Police issued,264
2023,NSW,17-25,mobile_phone_use,Police issued,10
2023,NSW,17-25,mobile_phone_use,Police issued,2
2023,NSW,17-25,mobile_phone_use,Police issued,2
2023,NT,17-25,mobile_phone_use,Police issued,5
2023,SA,17-25,mobile_phone_use,Police issued,117
2023,TAS,17-25,mobile_phone_use,Fixed or mobile camera,27
2023,TAS,17-25,mobile_phone_use,Police issued,35
2023,VIC,17-25,mobile_phone_use,Mobile camera,37
2023,VIC,17-25,mobile_phone_use,Police issued,38
2023,VIC,17-25,mobile_phone_use,Mobile camera,261
2023,VIC,17-25,mobile_phone_use,Police issued,228
2023,VIC,17-25,mobile_phone_use,Police issued,8
2023,WA,17-25,mobile_phone_use,Police issued,52
2023,ACT,17-25,mobile_phone_use,Police issued,6
2023,NSW,17-25,mobile_phone_use,Police issued,53
2023,NSW,17-25,mobile_phone_use,Police issued,237
2023,NSW,17-25,mobile_phone_use,Police issued,4
2023,NSW,17-25,mobile_phone_use,Police issued,1
2023,NSW,17-25,mobile_phone_use,Police issued,1
2023,NT,17-25,mobile_phone_use,Police issued,4
2023,SA,17-25,mobile_phone_use,Police issued,104
2023,TAS,17-25,mobile_phone_use,Fixed or mobile camera,29
2023,TAS,17-25,mobile_phone_use,Police issued,34
2023,VIC,17-25,mobile_phone_use,Mobile camera,30
2023,VIC,17-25,mobile_phone_use,Police issued,37
2023,VIC,17-25,mobile_phone_use,Mobile camera,220
2023,VIC,17-25,mobile_phone_use,Police issued,291
2023,VIC,17-25,mobile_phone_use,Police issued,5
2023,VIC,17-25,mobile_phone_use,Mobile camera,11
2023,WA,17-25,mobile_phone_use,Police issued,57
2023,ACT,17-25,mobile_phone_use,Police issued,4
2023,NSW,17-25,mobile_phone_use,Police issued,48
2023,NSW,17-25,mobile_phone_use,Police issued,340
2023,NSW,17-25,mobile_phone_use,Police issued,10
2023,NSW,17-25,mobile_phone_use,Police issued,33
2023,NSW,17-25,mobile_phone_use,Police issued,1
2023,NT,17-25,mobile_phone_use,Police issued,6
2023,SA,17-25,mobile_phone_use,Police issued,104
2023,TAS,17-25,mobile_phone_use,Fixed or mobile camera,11
2023,TAS,17-25,mobile_phone_use,Police issued,23
2023,VIC,17-25,mobile_phone_use,Mobile camera,114
2023,VIC,17-25,mobile_phone_use,Police issued,37
2023,VIC,17-25,mobile_phone_use,Mobile camera,220
2023,VIC,17-25,mobile_phone_use,Police issued,259
2023,VIC,17-25,mobile_phone_use,Police issued,6
2023,VIC,17-25,mobile_phone_use,Police issued,1
2023,WA,17-25,mobile_phone_use,Police issued,35
2023,ACT,26-39,mobile_phone_use,Police issued,8
2023,NSW,26-39,mobile_phone_use,Police issued,54
2023,NSW,26-39,mobile_phone_use,Police issued,335
2023,NSW,26-39,mobile_phone_use,Police issued,8
2023,NSW,26-39,mobile_phone_use,Police issued,1
2023,NT,26-39,mobile_phone_use,Police issued,7
2023,SA,26-39,mobile_phone_use,Police issued,182
2023,TAS,26-39,mobile_phone_use,Police issued,63
2023,VIC,26-39,mobile_phone_use,Police issued,55
2023,VIC,26-39,mobile_phone_use,Police issued,654
2023,VIC,26-39,mobile_phone_use,Police issued,11
2023,VIC,26-39,mobile_phone_use,Police issued,2
2023,WA,26-39,mobile_phone_use,Police issued,178
2023,ACT,26-39,mobile_phone_use,Police issued,8
2023,NSW,26-39,mobile_phone_use,Police issued,54
2023,NSW,26-39,mobile_phone_use,Police issued,423
2023,NSW,26-39,mobile_phone_use,Police issued,13
2023,NT,26-39,mobile_phone_use,Police issued,6
2023,SA,26-39,mobile_phone_use,Police issued,239
2023,TAS,26-39,mobile_phone_use,Police issued,43
2023,VIC,26-39,mobile_phone_use,Police issued,55
2023,VIC,26-39,mobile_phone_use,Police issued,586
2023,VIC,26-39,mobile_phone_use,Police issued,12
2023,VIC,26-39,mobile_phone_use,Police issued,2
2023,WA,26-39,mobile_phone_use,Police issued,155
2023,ACT,26-39,mobile_phone_use,Police issued,14
2023,NSW,26-39,mobile_phone_use,Police issued,67
2023,NSW,26-39,mobile_phone_use,Police issued,405
2023,NSW,26-39,mobile_phone_use,Police issued,13
2023,NSW,26-39,mobile_phone_use,Police issued,2
2023,NT,26-39,mobile_phone_use,Police issued,6
2023,SA,26-39,mobile_phone_use,Police issued,228
2023,TAS,26-39,mobile_phone_use,Police issued,44
2023,VIC,26-39,mobile_phone_use,Police issued,74
2023,VIC,26-39,mobile_phone_use,Police issued,646
2023,VIC,26-39,mobile_phone_use,Police issued,29
2023,WA,26-39,mobile_phone_use,Police issued,184
2023,ACT,26-39,mobile_phone_use,Police issued,11
2023,NSW,26-39,mobile_phone_use,Police issued,68
2023,NSW,26-39,mobile_phone_use,Police issued,384
2023,NSW,26-39,mobile_phone_use,Police issued,9
2023,NT,26-39,mobile_phone_use,Police issued,11
2023,SA,26-39,mobile_phone_use,Police issued,184
2023,TAS,26-39,mobile_phone_use,Police issued,70
2023,VIC,26-39,mobile_phone_use,Police issued,56
2023,VIC,26-39,mobile_phone_use,Police issued,608
2023,VIC,26-39,mobile_phone_use,Police issued,9
2023,VIC,26-39,mobile_phone_use,Police issued,2
2023,WA,26-39,mobile_phone_use,Police issued,136
2023,ACT,26-39,mobile_phone_use,Police issued,9
2023,NSW,26-39,mobile_phone_use,Police issued,47
2023,NSW,26-39,mobile_phone_use,Police issued,356
2023,NSW,26-39,mobile_phone_use,Police issued,13
2023,NSW,26-39,mobile_phone_use,Police issued,1
2023,NSW,26-39,mobile_phone_use,Police issued,2
2023,NT,26-39,mobile_phone_use,Police issued,10
2023,SA,26-39,mobile_phone_use,Police issued,194
2023,TAS,26-39,mobile_phone_use,Police issued,68
2023,VIC,26-39,mobile_phone_use,Police issued,93
2023,VIC,26-39,mobile_phone_use,Police issued,518
2023,VIC,26-39,mobile_phone_use,Police issued,21
2023,VIC,26-39,mobile_phone_use,Police issued,1
2023,WA,26-39,mobile_phone_use,Police issued,171
2023,ACT,26-39,mobile_phone_use,Police issued,9
2023,NSW,26-39,mobile_phone_use,Police issued,71
2023,NSW,26-39,mobile_phone_use,Police issued,401
2023,NSW,26-39,mobile_phone_use,Police issued,6
2023,NSW,26-39,mobile_phone_use,Police issued,2
2023,NT,26-39,mobile_phone_use,Police issued,2
2023,SA,26-39,mobile_phone_use,Police issued,182
2023,TAS,26-39,mobile_phone_use,Police issued,54
2023,VIC,26-39,mobile_phone_use,Police issued,61
2023,VIC,26-39,mobile_phone_use,Police issued,465
2023,VIC,26-39,mobile_phone_use,Police issued,13
2023,VIC,26-39,mobile_phone_use,Police issued,6
2023,WA,26-39,mobile_phone_use,Police issued,124
2023,ACT,26-39,mobile_phone_use,Police issued,8
2023,NSW,26-39,mobile_phone_use,Police issued,41
2023,NSW,26-39,mobile_phone_use,Police issued,316
2023,NSW,26-39,mobile_phone_use,Police issued,8
2023,NT,26-39,mobile_phone_use,Police issued,9
2023,SA,26-39,mobile_phone_use,Police issued,194
2023,TAS,26-39,mobile_phone_use,Police issued,51
2023,VIC,26-39,mobile_phone_use,Police issued,59
2023,VIC,26-39,mobile_phone_use,Police issued,520
2023,VIC,26-39,mobile_phone_use,Police issued,10
2023,VIC,26-39,mobile_phone_use,Police issued,9
2023,WA,26-39,mobile_phone_use,Police issued,115
2023,ACT,26-39,mobile_phone_use,Police issued,8
2023,NSW,26-39,mobile_phone_use,Police issued,39
2023,NSW,26-39,mobile_phone_use,Police issued,298
2023,NSW,26-39,mobile_phone_use,Police issued,12
2023,NSW,26-39,mobile_phone_use,Police issued,1
2023,NSW,26-39,mobile_phone_use,Police issued,1
2023,NT,26-39,mobile_phone_use,Police issued,6
2023,SA,26-39,mobile_phone_use,Police issued,187
2023,TAS,26-39,mobile_phone_use,Fixed or mobile camera,11
2023,TAS,26-39,mobile_phone_use,Police issued,55
2023,VIC,26-39,mobile_phone_use,Police issued,72
2023,VIC,26-39,mobile_phone_use,Police issued,686
2023,VIC,26-39,mobile_phone_use,Police issued,28
2023,VIC,26-39,mobile_phone_use,Police issued,4
2023,WA,26-39,mobile_phone_use,Police issued,107
2023,ACT,26-39,mobile_phone_use,Police issued,10
2023,NSW,26-39,mobile_phone_use,Police issued,55
2023,NSW,26-39,mobile_phone_use,Police issued,290
2023,NSW,26-39,mobile_phone_use,Police issued,8
2023,NT,26-39,mobile_phone_use,Police issued,6
2023,SA,26-39,mobile_phone_use,Police issued,178
2023,TAS,26-39,mobile_phone_use,Fixed or mobile camera,38
2023,TAS,26-39,mobile_phone_use,Police issued,44
2023,VIC,26-39,mobile_phone_use,Police issued,65
2023,VIC,26-39,mobile_phone_use,Police issued,608
2023,VIC,26-39,mobile_phone_use,Police issued,13
2023,VIC,26-39,mobile_phone_use,Police issued,6
2023,WA,26-39,mobile_phone_use,Police issued,64
2023,ACT,26-39,mobile_phone_use,Police issued,15
2023,NSW,26-39,mobile_phone_use,Police issued,62
2023,NSW,26-39,mobile_phone_use,Police issued,336
2023,NSW,26-39,mobile_phone_use,Police issued,7
2023,NSW,26-39,mobile_phone_use,Police issued,2
2023,NSW,26-39,mobile_phone_use,Police issued,4
2023,NSW,26-39,mobile_phone_use,Police issued,1
2023,NT,26-39,mobile_phone_use,Police issued,8
2023,SA,26-39,mobile_phone_use,Police issued,169
2023,TAS,26-39,mobile_phone_use,Fixed or mobile camera,123
2023,TAS,26-39,mobile_phone_use,Police issued,41
2023,VIC,26-39,mobile_phone_use,Mobile camera,155
2023,VIC,26-39,mobile_phone_use,Police issued,87
2023,VIC,26-39,mobile_phone_use,Mobile camera,1466
2023,VIC,26-39,mobile_phone_use,Police issued,565
2023,VIC,26-39,mobile_phone_use,Police issued,12
2023,VIC,26-39,mobile_phone_use,Mobile camera,3
2023,VIC,26-39,mobile_phone_use,Police issued,6
2023,WA,26-39,mobile_phone_use,Police issued,92
2023,ACT,26-39,mobile_phone_use,Police issued,7
2023,NSW,26-39,mobile_phone_use,Police issued,67
2023,NSW,26-39,mobile_phone_use,Police issued,302
2023,NSW,26-39,mobile_phone_use,Police issued,9
2023,NSW,26-39,mobile_phone_use,Police issued,3
2023,NT,26-39,mobile_phone_use,Police issued,7
2023,SA,26-39,mobile_phone_use,Police issued,177
2023,TAS,26-39,mobile_phone_use,Fixed or mobile camera,132
2023,TAS,26-39,mobile_phone_use,Police issued,69
2023,VIC,26-39,mobile_phone_use,Mobile camera,213
2023,VIC,26-39,mobile_phone_use,Police issued,61
2023,VIC,26-39,mobile_phone_use,Mobile camera,1366
2023,VIC,26-39,mobile_phone_use,Police issued,681
2023,VIC,26-39,mobile_phone_use,Police issued,26
2023,VIC,26-39,mobile_phone_use,Mobile camera,76
2023,VIC,26-39,mobile_phone_use,Police issued,6
2023,WA,26-39,mobile_phone_use,Police issued,108
2023,ACT,26-39,mobile_phone_use,Police issued,3
2023,NSW,26-39,mobile_phone_use,Police issued,55
2023,NSW,26-39,mobile_phone_use,Police issued,338
2023,NSW,26-39,mobile_phone_use,Police issued,8
2023,NSW,26-39,mobile_phone_use,Police issued,57
2023,NT,26-39,mobile_phone_use,Police issued,12
2023,SA,26-39,mobile_phone_use,Police issued,158
2023,TAS,26-39,mobile_phone_use,Fixed or mobile camera,57
2023,TAS,26-39,mobile_phone_use,Police issued,54
2023,VIC,26-39,mobile_phone_use,Mobile camera,462
2023,VIC,26-39,mobile_phone_use,Police issued,81
2023,VIC,26-39,mobile_phone_use,Mobile camera,1102
2023,VIC,26-39,mobile_phone_use,Police issued,718
2023,VIC,26-39,mobile_phone_use,Police issued,9
2023,VIC,26-39,mobile_phone_use,Police issued,8
2023,WA,26-39,mobile_phone_use,Police issued,78
2023,ACT,40-64,mobile_phone_use,Police issued,12
2023,NSW,40-64,mobile_phone_use,Police issued,43
2023,NSW,40-64,mobile_phone_use,Police issued,200
2023,NSW,40-64,mobile_phone_use,Police issued,9
2023,NSW,40-64,mobile_phone_use,Police issued,1
2023,NT,40-64,mobile_phone_use,Police issued,8
2023,SA,40-64,mobile_phone_use,Police issued,117
2023,TAS,40-64,mobile_phone_use,Police issued,28
2023,VIC,40-64,mobile_phone_use,Police issued,41
2023,VIC,40-64,mobile_phone_use,Police issued,406
2023,VIC,40-64,mobile_phone_use,Police issued,9
2023,VIC,40-64,mobile_phone_use,Police issued,1
2023,WA,40-64,mobile_phone_use,Police issued,123
2023,ACT,40-64,mobile_phone_use,Police issued,12
2023,NSW,40-64,mobile_phone_use,Police issued,61
2023,NSW,40-64,mobile_phone_use,Police issued,308
2023,NSW,40-64,mobile_phone_use,Police issued,10
